janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre
-4;-28;-10;-6;3;12;14;24;9;2;2;1
-5;-21;-8;-6;3;11;18;20;13;-1;-2;-3
-4;-18;-16;-3;4;9;18;15;13;-3;-0;-3
-6;-23;-18;-2;1;5;15;11;11;-3;0;-6
-11;-27;-19;-0;2;4;14;14;10;-2;3;-4
-3;-21;-23;0;6;4;18;12;9;-1;3;-5
-6;-16;-17;-2;4;6;15;10;7;-3;1;-7
-12;-16;-14;-4;5;6;18;16;5;-3;1;-3
-13;-6;-10;-5;10;9;19;19;7;1;1;-3
-9;-6;-6;-2;14;10;19;17;10;2;-0;-2
-6;-8;-3;-2;14;8;22;16;11;0;0;-3
-6;-13;-7;0;15;4;21;14;10;5;2;-15
-10;-7;-9;0;15;6;20;12;11;7;3;-12
-3;-2;-9;2;16;11;17;9;9;11;0;-6
-5;-2;-13;1;15;15;17;10;9;7;2;-5
-11;-4;-13;3;17;16;20;10;7;1;4;-4
-16;-8;-9;5;8;16;23;17;6;1;4;-8
-10;-14;-5;4;6;16;25;17;6;3;-3;-7
-14;-20;-10;1;10;15;24;14;6;1;-5;-7
-11;-22;-17;-1;11;12;23;11;9;-0;-0;-7
-13;-16;-11;-2;16;12;19;10;10;5;-1;-10
-21;-17;-9;-1;16;11;20;9;11;1;-1;-22
-22;-24;-12;2;8;11;21;9;9;-4;-3;-25
-23;-20;-9;4;8;11;21;10;5;-5;-3;-15
-4;-9;-13;4;14;15;23;15;2;-4;-5;-8
-12;-8;-11;3;11;16;17;13;2;-3;-7;-8
-16;-17;-9;3;9;14;15;11;3;-4;-11;-12
-13;-17;-7;4;15;11;16;9;0;-9;-8;-9
-8;;-3;1;14;11;19;11;-1;-12;-2;-3
-7;;-5;1;8;9;22;12;3;-10;1;-15
-14;;-4;;9;;24;12;;-1;;-13